loc_name,Measurement Date,Reference Elevation,Water Level Depth,Water Level elevation
MW-14,6/10/2008,879.94,7.31,872.63
MW-14,10/6/2008,879.94,7.24,872.7
MW-14,2/9/2009,879.94,8.14,871.8
MW-14,6/15/2009,879.94,7.26,872.68
MW-14,12/14/2009,879.94,7.56,872.38
MW-14,6/14/2010,879.94,6.93,873.01
MW-14,12/6/2010,879.94,8.58,871.36
MW-14,6/13/2011,879.94,7.26,872.68
MW-14,9/19/2011,879.94,8.75,871.19
MW-14,12/6/2011,879.94,9.41,870.53
MW-14,6/10/2013,879.94,7.56,872.38
MW-14,6/7/2016,879.94,5.91,874.03
MW-14,12/12/2016,879.94,8.14,871.8
MW-14,6/6/2017,879.94,6.51,873.43
MW-14,12/12/2017,879.94,8.31,871.63
MW-14,12/3/2018,879.94,7.89,872.05
MW-14,12/10/2019,879.94,6.73,873.21
MW-14,12/7/2020,879.94,8.35,871.59
MW-14,12/7/2021,879.94,7.82,872.12
MW-14,12/6/2022,879.94,9.17,870.77
MW-14,12/5/2023,879.94,9.2,870.74
MW-14,12/2/2024,879.94,8.94,871
MW-15,6/27/2005,881.5,27.3,854.2
MW-15,11/7/2005,881.5,26.87,854.63
MW-15,12/5/2005,881.5,27.11,854.39
MW-15,5/2/2006,881.5,26.43,855.07
MW-15,6/11/2007,881.5,26.77,854.73
